date,Mkt_RF,SMB,HML
20061229,0.0087,-0.0089,0.0252
20070131,0.014,0.0009,-0.0002
20070228,-0.0196,0.0137,0.0024
20070330,0.0068,-0.0026,0.0039
20070430,0.0349,-0.021,-0.0097
20070531,0.0324,-0.0002,-0.0014
20070629,-0.0196,0.0076,-0.0107
20070731,-0.0373,-0.0268,-0.0299
20070831,0.0092,-0.0015,-0.0238
20070928,0.0322,-0.0246,-0.0214
20071031,0.018,0.0019,-0.0195
20071130,-0.0483,-0.028,-0.011
20071231,-0.0087,0.0002,0
20080131,-0.0636,-0.0075,0.0307
20080229,-0.0309,-0.0057,-0.0003
20080331,-0.0093,0.0081,0.0028
20080430,0.046,-0.0149,-0.0008
20080530,0.0186,0.0303,-0.0038
20080630,-0.0844,0.0109,-0.0106
20080731,-0.0077,0.0359,0.0369
20080829,0.0153,0.0373,0.0148
20080930,-0.0924,-0.0037,0.044
20081031,-0.1723,-0.0228,-0.0299
20081128,-0.0786,-0.0364,-0.0494
20081231,0.0174,0.0399,-0.012
20090130,-0.0812,-0.0099,-0.0987
20090227,-0.101,-0.0036,-0.0691
20090331,0.0895,0.0075,0.026
20090430,0.1019,0.0535,0.0542
20090529,0.0521,-0.0266,0.0056
20090630,0.0043,0.0266,-0.0244
20090731,0.0772,0.025,0.0479
20090831,0.0333,-0.0052,0.0757
20090930,0.0408,0.0248,0.0139
20091030,-0.0259,-0.0422,-0.0437
20091130,0.0556,-0.0267,0.0017
20091231,0.0275,0.0578,0.0072
20100129,-0.0336,0.0021,0.006
20100226,0.034,0.0144,0.0273
20100331,0.0631,0.0158,0.0205
20100430,0.02,0.0493,0.0319
20100528,-0.0789,-0.0008,-0.0235
20100630,-0.0556,-0.0212,-0.0428
20100730,0.0693,0.0027,0.0009
20100831,-0.0477,-0.0302,-0.014
20100930,0.0954,0.0386,-0.0285
20101029,0.0388,0.0105,-0.0222
20101130,0.006,0.0367,-0.0059
20101231,0.0682,0.0078,0.0336
20110131,0.0199,-0.0244,0.007
20110228,0.0349,0.0156,0.0171
20110331,0.0045,0.027,-0.0116
20110429,0.029,-0.0036,-0.0217
20110531,-0.0127,-0.0064,-0.0207
20110630,-0.0175,-0.0013,-0.0023
20110729,-0.0236,-0.0143,-0.0114
20110831,-0.0599,-0.033,-0.0157
20110930,-0.0759,-0.0372,-0.0099
20111031,0.1135,0.0359,-0.0092
20111130,-0.0028,-0.0026,-0.0016
20111230,0.0074,-0.0057,0.0154
20120131,0.0505,0.0253,-0.0216
20120229,0.0442,-0.0164,0.0004
20120330,0.0311,-0.0024,-0.0006
20120430,-0.0085,-0.0062,-0.0017
20120531,-0.0619,-0.0012,0.0011
20120629,0.0389,0.0082,0.0048
20120731,0.0079,-0.026,0.0002
20120831,0.0255,0.0071,0.0055
20120928,0.0273,0.0049,0.0157
20121031,-0.0176,-0.0107,0.0414
20121130,0.0078,0.0067,-0.011
20121231,0.0118,0.0162,0.0325
20130131,0.0557,0.0047,0.0131
20130228,0.0129,-0.0039,0.0029
20130328,0.0403,0.0083,-0.0006
20130430,0.0156,-0.024,0.0041
20130531,0.028,0.0195,0.0132
20130628,-0.012,0.0123,-0.0044
20130731,0.0565,0.0187,0.0074
20130830,-0.0271,0.0029,-0.0246
20130930,0.0377,0.0285,-0.0159
20131031,0.0418,-0.0157,0.013
20131129,0.0312,0.0134,-0.0033
20131231,0.0281,-0.0043,-0.0015
20140131,-0.0332,0.0084,-0.0186
20140228,0.0465,0.0032,-0.0048
20140331,0.0043,-0.0183,0.0467
20140430,-0.0019,-0.0419,0.0157
20140530,0.0206,-0.0187,-0.0038
20140630,0.0261,0.0299,-0.0066
20140731,-0.0204,-0.0428,0.0001
20140829,0.0423,0.0049,-0.0075
20140930,-0.0197,-0.038,-0.0161
20141031,0.0252,0.0417,-0.0189
20141128,0.0255,-0.0214,-0.0342
20141231,-0.0006,0.026,0.0152
20150130,-0.0311,-0.0066,-0.0311
